,Name,laitude,longtitude,rating,label,aspect
0,亞廬義大利窯烤吃到飽餐廳,25.0221397,121.549751,4.3,{1: '台式料理'},"{'食物品質': 3.5, '服務品質': 4, '性價比': 4, '環境氛圍': 3, '衛生安全': 3.5}"
1,the Diner 樂子瑞安店,25.0265894,121.5396576,4.3,{1: '美式料理'},"{'食物品質': 4.5, '服務品質': 4.5, '性價比': 4, '環境氛圍': 4.5, '衛生安全': 4.5}"
2,詹記麻辣火鍋 敦南店,25.0243099,121.5490842,4.4,{1: '台式料理'},"{'食物品質': 5, '服務品質': 5, '性價比': 4, '環境氛圍': 4, '衛生安全': 5}"
3,香宮 Shang Palace - 台北遠東香格里拉,25.026403,121.5494,4.3,{1: '中式料理'},"{'食物品質': 5, '服務品質': 5, '性價比': 3, '環境氛圍': 5, '衛生安全': 5}"
4,莫宰羊-大安台大店,25.0238934,121.5344482,4.2,{1: '其他料理'},"{'食物品質': 4, '服務品質': 4, '性價比': 3, '環境氛圍': 3.5, '衛生安全': 4.5}"
5,月之義大利餐廳,25.0254867,121.5494205,4.4,{1: '義式料理'},"{'食物品質': 4, '服務品質': 5, '性價比': 3, '環境氛圍': 5, '衛生安全': 4}"
6,北平同慶樓,25.024169,121.5483413,4.0,{1: '中式料理'},"{'食物品質': 3.5, '服務品質': 3.5, '性價比': 3.5, '環境氛圍': 2.5, '衛生安全': 3.5}"
7,小木屋鬆餅(台大店),25.01544789999999,121.5371656,4.2,{1: '台式料理'},"{'食物品質': 3, '服務品質': 2, '性價比': 3, '環境氛圍': 4, '衛生安全': 3}"
8,霞飛驛歐法西餐,25.0200278,121.5334694,4.2,{1: '義式料理'},"{'食物品質': 3, '服務品質': 4, '性價比': 3, '環境氛圍': 4, '衛生安全': 4}"
9,小李子清粥小菜,25.028734,121.5432726,3.8,{1: '台式料理'},"{'食物品質': 3, '服務品質': 4, '性價比': 3, '環境氛圍': 4, '衛生安全': 3}"
10,遠東CAFÉ,25.026403,121.5494,4.5,{1: '日式料理'},"{'食物品質': 4, '服務品質': 4, '性價比': 4, '環境氛圍': 3, '衛生安全': 4}"
11,蘇活義大利麵坊,25.0201304,121.5335261,4.2,{1: '義式料理'},"{'食物品質': 5, '服務品質': 4, '性價比': 4, '環境氛圍': 3, '衛生安全': 5}"
12,靚咖哩,25.0246495,121.5427665,3.7,{1: '台式料理'},"{'食物品質': 2, '服務品質': 3, '性價比': 2, '環境氛圍': 1, '衛生安全': 1}"
